artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,fabrication_required,notes
DT-001,hulusi-design-table.xlsx,design_table,master_inputs,pending_measurement,,predicted_or_formula,true,"Workbook is the parametric source of truth for the v4.1 packet. HUL-P0/HUL-P1 measurements are still required before treating reed pull-down or pipe response as validated."
SPEC-001,family-spec.csv,design_table,family_spec,pending_measurement,hulusi-design-table.xlsx,measurement_required,true,"Five-key family rows are intentionally marked unknown_requires_measurement; promote only after measured coupon and pipe-control evidence."
CAD-001,cad/hulusi_master.scad,cad_source,openscad_master,pending_measurement,"hulusi-design-table.xlsx; family-spec.csv",derived_from_authority,true,"Parametric OpenSCAD starter for review and planning. Not native production CAD, not STEP/STL/DXF authority, and not validated against a prototype."
CAD-002,cad/hulusi-design-table.txt,cad_reference,solidworks_global_parity,reference_only,hulusi-design-table.xlsx,none,false,"SolidWorks global-variable parity reference only. It is not a CAD file or fabrication drawing."
SVG-001,drawings/hulusi-Bb.svg,svg_preview,dimensioned_family_preview,derived_preview,"hulusi-design-table.xlsx; family-spec.csv",derived_from_authority,true,"Human-review drawing preview for the Bb family member. Use workbook/CAD review plus measurements before fabrication authority."
SVG-002,drawings/hulusi-C.svg,svg_preview,dimensioned_family_preview,derived_preview,"hulusi-design-table.xlsx; family-spec.csv",derived_from_authority,true,"Human-review drawing preview for the C family member. Use workbook/CAD review plus measurements before fabrication authority."
SVG-003,drawings/hulusi-D.svg,svg_preview,dimensioned_family_preview,derived_preview,"hulusi-design-table.xlsx; family-spec.csv",derived_from_authority,true,"Human-review drawing preview for the D family member. Use workbook/CAD review plus measurements before fabrication authority."
SVG-004,drawings/hulusi-F.svg,svg_preview,dimensioned_family_preview,derived_preview,"hulusi-design-table.xlsx; family-spec.csv",derived_from_authority,true,"Human-review drawing preview for the F prototype member. HUL-P0/HUL-P1 validation is still required before production release."
SVG-005,drawings/hulusi-G.svg,svg_preview,dimensioned_family_preview,derived_preview,"hulusi-design-table.xlsx; family-spec.csv",derived_from_authority,true,"Human-review drawing preview for the G family member. Use workbook/CAD review plus measurements before fabrication authority."
SVG-006,drawings/hulusi-family-scale.svg,svg_preview,family_scale_preview,derived_preview,"hulusi-design-table.xlsx; family-spec.csv",derived_from_authority,false,"Family scale comparison for review; not a template or production drawing."
SVG-007,drawings/hulusi-section.svg,svg_preview,section_preview,derived_preview,"hulusi-design-table.xlsx; cad/hulusi_master.scad",derived_from_authority,true,"Centerline section preview. Needs CAD/reed/gourd measurement review before fabrication authority."
SVG-008,drawings/reed-detail.svg,svg_preview,reed_slot_preview,derived_preview,"hulusi-design-table.xlsx; cad/hulusi-design-table.txt",derived_from_authority,true,"Reed slot and tongue preview. Reed clearance and pull-down remain measurement-required."
IMG-001,images/hero-concept.svg,concept_image,hero_concept,concept_only,,none,false,"Concept placeholder until first prototype is photographed; not dimensional."
IMG-002,images/family-overview-concept.svg,concept_image,family_overview_concept,concept_only,,none,false,"Concept family overview; not dimensional."
VALID-001,validation.csv,validation_table,target_measurement_log,pending_measurement,"hulusi-design-table.xlsx; hulusi-starter.wl",predicted_or_target,false,"Target rows exist; measured Hz and cents-error evidence are not populated for prototype promotion."
LOOP-001,validation-loop.csv,validation_gate_register,empirical_loop_gate,pending_measurement,"p0-reed-coupon-log.csv; p1-single-melody-pipe-control-log.csv; safety-gates.csv",measurement_required,false,"Round 23/30 empirical-loop gate tracker; all current HUL-P0/HUL-P1 evidence remains measurement-required."
LOG-001,p0-reed-coupon-log.csv,measurement_template,reed_coupon_log,pending_measurement,free-reed-empirical-loop.md,measurement_required,false,"Blank/intake structure for reed coupon evidence. Do not treat as measured pull-down data."
LOG-002,p1-single-melody-pipe-control-log.csv,measurement_template,single_pipe_control_log,pending_measurement,free-reed-empirical-loop.md,measurement_required,false,"Blank/intake structure for coupled melody-pipe evidence. Do not treat as measured pipe validation."
WIND-001,windchest-geometry-plan.csv,planning_table,windchest_plan,pending_measurement,design.md,measurement_required,true,"Planning and leak-test authority surface; chamber claims remain blocked until measured leak and pressure data exist."
WOLFRAM-001,hulusi-starter.wl,wolfram_source,physics_source,pending_measurement,"hulusi-design-table.xlsx; validation.csv",predicted_or_formula,false,"Source-only Wolfram model surface. Runtime outputs and measured calibration evidence are not committed in this migration."
PRINT-001,print-packet.pdf,print_packet,shop_packet_preview,derived_preview,"README.md; design.md; validation.csv; drawings/*.svg",none,false,"Shop/review packet preview. It is not an independent fabrication authority."
SITE-001,site/index.html,static_site,build_log_preview,reference_only,"README.md; capstone-manifest.json",none,false,"Recruiter-facing review surface; not measurement or fabrication authority."
EXPLORER-001,explorer.html,review_surface,studio_explorer,reference_only,"README.md; capstone-manifest.json",none,false,"Studio explorer links packet artifacts. It is not measurement or fabrication authority."
DXF-PLANNED-001,cnc/reed-tongue.dxf,planned_dxf,reed_tongue_export,pending_measurement,"hulusi-design-table.xlsx; cad/hulusi_master.scad; p0-reed-coupon-log.csv",measurement_required,true,"Planned export only; file is not present. Do not claim DXF authority until generated, reviewed, and tied to measured reed evidence."
DXF-PLANNED-002,cnc/reed-frame.dxf,planned_dxf,reed_frame_export,pending_measurement,"hulusi-design-table.xlsx; cad/hulusi_master.scad; p0-reed-coupon-log.csv",measurement_required,true,"Planned export only; file is not present. Do not claim DXF authority until generated, reviewed, and tied to measured reed evidence."
WOLFRAM-002,wolfram/hulusi-wolfram-model.wl,wolfram_source,analysis_source,derived_preview,"hulusi-design-table.xlsx; family-spec.csv; validation.csv",source_only,false,"Generated Wolfram source package (stopped-pipe + free-reed model); not executed; source-only L2 evidence, distinct from the existing hulusi-starter.wl."
