cut_id,part,qty,rough_dimensions_in,final_dimensions_in,material,orientation,operation,tolerance_in,yield_or_offcut,notes
HUL-CUT-001,Gourd upper half (lathe blank) — F-key,1,5 x 5 x 4.5 envelope,~4.5 OD x 4.0 L turned outer; ~3.5 ID x 3.5 deep hollow,Walnut,Grain along axis; mark mouthpiece pole + pipe-socket pole,Lathe turn outer profile; bore center hollow; relieve pipe sockets,+/-0.020,Save offcut for pipe-socket bushings,Hollow before separating halves to keep concentricity.
HUL-CUT-002,Gourd lower half (lathe blank) — F-key,1,5 x 5 x 4.5 envelope,~4.5 OD x 3.0 L turned outer; ~3.5 ID x 2.5 deep hollow,Walnut,Mirror of HUL-CUT-001,Lathe turn matching profile; relieve pipe sockets,+/-0.020,Save offcut,Halves glue with hide glue or epoxy; dry-fit before commit.
HUL-CUT-003,Pipe-socket bushings (gourd-to-tube joint),3,1.25 x 1.25 x 0.75 each,1.0 ID x 1.25 OD x 0.75 L,Walnut (offcut from gourd),End-grain bore,Drill press 1 in Forstner; band-saw to OD,+/-0.005,Make 4-5 to allow rejection,Critical concentricity for air seal.
HUL-CUT-004,Melody tube — F-key,1,1.0 OD x 18 L round dowel,Cut to Pipes!B15 = 10.05 in (F-key); bore 0.500 in ID,Pakkawood,Bore axis = grain axis,ShopBot bore + cutoff; or lathe drill jig + bandsaw,+/-0.010 length / +/-0.005 bore,~7.95 in offcut per blank,Total cut length = effective + reed pad.
HUL-CUT-005,Drone 1 tube — F-key,1,1.0 OD x 14 L,Cut to Pipes!C15 = 6.82 in (F-key); bore 0.500 in ID,Pakkawood,Same as melody,Bore + cutoff,+/-0.010 / +/-0.005,~7.18 in offcut,5th above tonic; fixed (no holes).
HUL-CUT-006,Drone 2 tube — F-key,1,1.0 OD x 10 L,Cut to Pipes!D15 = 5.20 in (F-key); bore 0.500 in ID,Pakkawood,Same,Bore + cutoff,+/-0.010 / +/-0.005,~4.80 in offcut,Octave drone; plan waxable foot.
HUL-CUT-007,Finger holes (melody pipe),7,N/A,0.275 in dia per Master_Inputs!mel_hole_dia; positions per Holes!E:E,Pakkawood (in tube),Holes drilled radially; angle to comfort,Drill press with stop block; index off bottom of tube,+/-0.010 position / +/-0.005 dia,N/A,Drill undersize first (0.250 in); ream to final after acoustic check.
HUL-CUT-008,Reed frame plates,3,1.0 x 0.6 x 0.040 each,Slot per Pipes!B21..D21 width = 0.163 in,Brass C26000 plate,Long axis = reed axis,Laser-cut perimeter + slot on Epilog (cnc/reed-frame.dxf),+/-0.005,Cut 8-10 plates per sheet for reject allowance,Slot length = tongue length + 0.040 in clearance.
HUL-CUT-009,Reed tongues (brass shim),3 per build (+spares),0.157 x 1.0 x 0.008 each,Length per Pipes!B19..D19 (mel ~0.80 in for F-key); width 0.157 in,Brass C26000 shim 0.008 in,Long axis = vibration axis,Laser-cut on Epilog; cnc/reed-tongue.dxf,+/-0.003 length / +/-0.002 width,~30 reed blanks per sheet,Always cut spares; reeds are consumable until voicing locked.
HUL-CUT-010,Mouthpiece insert,1,1.5 x 0.6 x 0.6,0.5 OD x 1.5 L turned with 0.25 ID through-bore,Boxwood or buffalo horn,Grain along axis,Lathe turn; through-bore drill,+/-0.010,N/A,Match gourd_neck_OD bore for press-fit + wax seal.
HUL-CUT-011,Wax tuning compound,as needed,N/A,~5 g per pipe,Beeswax + 25% rosin (luthier's wax),N/A,Hot-mix in double boiler; cool to soft pastille,N/A,N/A,Apply with finger or popsicle stick at hole edges to flat-tune.
HUL-CUT-012,Family scaling — Bb / C / D / G variants,1 set each,Per Family sheet rows,Per Family sheet computed dimensions,Same materials,Per family,Same workflow once F-key voicing is stable,+/-0.020,Each key needs its own pipe blanks,Defer until HUL-P2 F-key validates wall thickness + reed pull-down.
